Pays,TauxWB,AnneeWB,TauxITU,AnneeITU,UtilisateursCIA,AnneeCIA,Notes,TauxInternet
Tanzania,31.9,2022.0,31.9,2022.0,20480000.0,2021.0,,31.9
Thailand,89.5,2023.0,89.5,2023.0,61200000.0,2021.0,,89.5
Togo,37.6,2022.0,37.6,2022.0,3010000.0,2021.0,,37.6
Tokelau,,,1.5,2003.0,800.0,2021.0,,1.5
Tonga,66.7,2020.0,57.5,2021.0,73700.0,2021.0,,57.5
Trinidad and Tobago,80.0,2022.0,80.0,2022.0,1185000.0,2021.0,,80.0
Tunisia,73.8,2022.0,73.8,2022.0,9480000.0,2021.0,,73.8
Turkey,86.0,2023.0,86.0,2023.0,68850000.0,2021.0,,86.0
Turkmenistan,21.3,2017.0,21.3,2017.0,1563023.0,2022.0,,21.3
Tuvalu,82.3,2021.0,81.2,2022.0,7920.0,2021.0,,81.2
Uganda,10.0,2021.0,10.0,2021.0,4600000.0,2021.0,,10.0
Ukraine,79.2,2021.0,79.2,2021.0,34596356.0,2021.0,,79.2
United Arab Emirates,100.0,2020.0,100.0,2023.0,9400000.0,2021.0,,100.0
United Kingdom,95.3,2022.0,95.3,2022.0,64990000.0,2021.0,,95.3
United States,97.1,2022.0,97.1,2022.0,312800000.0,2021.0,,97.1
Uruguay,89.9,2022.0,89.9,2022.0,3060000.0,2021.0,,89.9
US Virgin Islands,64.4,2017.0,64.4,2017.0,67508.0,2022.0,,64.4
Uzbekistan,89.0,2023.0,89.0,2023.0,26180000.0,2021.0,,89.0
Vanuatu,69.9,2022.0,69.9,2022.0,211200.0,2021.0,,69.9
Vatican City,,,85.1,2022.0,383.0,2021.0,,85.1
Venezuela,61.6,2017.0,61.6,2017.0,22734162.0,2022.0,,61.6
Vietnam,78.6,2022.0,78.1,2023.0,71780000.0,2021.0,,78.1
Wallis and Futuna,,,9.0,2012.0,5496.0,2021.0,,9.0
Yemen,26.7,2017.0,17.7,2022.0,8229624.0,2022.0,,17.7
Zambia,31.2,2022.0,31.2,2022.0,3990000.0,2021.0,,31.2
Zimbabwe,32.6,2022.0,32.6,2022.0,5600000.0,2021.0,,32.6
